sample	batch	class	order
YB000124	1	Tibetan	1
YB000126	1	Tibetan	2
YB000127	1	Tibetan	3
YB000130	1	Tibetan	4
YB000131	1	Tibetan	5
YB000132	1	Tibetan	6
YB000145	1	Tibetan	7
YB000146	1	Tibetan	8
YB000148	1	Tibetan	9
YB000149	1	Tibetan	10
YB000150	1	Tibetan	11
YB000151	1	Tibetan	12
YB000152	1	Tibetan	13
YB000153	1	Tibetan	14
YB000154	1	Tibetan	15
YB000155	1	Tibetan	16
YB000157	1	Tibetan	17
YB000159	1	Tibetan	18
YB000160	1	Tibetan	19
YB000165	1	Tibetan	20
YB000167	1	Tibetan	21
YB000172	1	Tibetan	22
YB000205	1	Han	23
YB000209	1	Han	24
YB000210	1	Han	25
YB000211	1	Han	26
YB000212	1	Han	27
YB000213	1	Han	28
YB000214	1	Han	29
YB000216	1	Han	30
YB000217	1	Han	31
YB000218	1	Han	32
YB000227	1	Han	33
YB000229	1	Han	34
YB000232	1	Han	35
YB000236	1	Han	36
YB000243	1	Han	37
YB000244	1	Han	38
YB000248	1	Han	39
YB000251	1	Han	40
YB000254	1	Han	41
YB000263	1	Han	42
YB000264	1	Han	43
YB000266	1	Han	44
YB000267	1	Han	45
